y,x,sensor_value
50,50,0.742882279478353
50,0,0.753572965831386
50,-50,0.678986144458708
100,50,0.697042487678968
100,0,0.710863999061264
100,-50,0.665911155780947
150,50,0.689574182330227
150,0,0.695807221644812
150,-50,0.639344238441677
200,50,0.661709729616223
200,0,0.685998357193142
200,-50,0.663555958971235
250,50,0.699111872213085
250,0,0.729493499178587
250,-50,0.70848798068864
300,50,0.753740292094673
300,0,0.801219451615428
300,-50,0.788497983827951
350,50,0.851360619572866
350,0,0.853421784140395
350,-50,0.763099419150436
400,50,0.80956100177692
400,0,0.82000934835329
400,-50,0.721306876320111
450,50,0.791154130485798
450,0,0.751571618555896
450,-50,0.370765313306735
